"dt","category","orders","buyers","item_gmv","paid_gmv","aov","ontime_rate","bad_review_rate"
"2016-10-04",unknown,1,1,65.50,65.50000000,65.500000,1.0000,0.0000
"2016-10-05","air_conditioning",1,1,676.92,676.92000000,676.920000,1.0000,0.0000
"2016-10-05","auto",3,3,400.71,400.71000000,133.570000,1.0000,0.3333
"2016-10-05","baby",1,1,342.69,342.69000000,342.690000,1.0000,1.0000
"2016-10-05","bed_bath_table",1,1,184.87,184.87000000,184.870000,1.0000,0.0000
"2016-10-05","computers_accessories",3,3,196.76,196.76000000,65.586667,1.0000,0.3333
"2016-10-05","consoles_games",1,1,661.75,661.75000000,661.750000,1.0000,0.0000
"2016-10-05","fashio_female_clothing",1,1,69.63,69.63000000,69.630000,1.0000,0.0000
"2016-10-05","fashion_male_clothing",1,1,35.86,35.86000000,35.860000,1.0000,1.0000
"2016-10-05","fixed_telephony",1,1,161.65,161.65000000,161.650000,1.0000,0.0000
"2016-10-05","furniture_decor",4,4,501.28,501.28000000,125.320000,1.0000,0.2500
"2016-10-05","health_beauty",3,3,162.19,162.19000000,54.063333,1.0000,0.3333
"2016-10-05","industry_commerce_and_business",1,1,113.17,113.17000000,113.170000,1.0000,0.0000
"2016-10-05","market_place",1,1,625.20,625.20000000,625.200000,1.0000,0.0000
"2016-10-05","office_furniture",1,1,115.22,115.22000000,115.220000,1.0000,1.0000
"2016-10-05","perfumery",3,3,615.72,615.72000000,205.240000,1.0000,0.0000
"2016-10-05","sports_leisure",1,1,818.12,818.12000000,818.120000,1.0000,0.0000
"2016-10-05","telephony",2,2,149.70,149.70000000,74.850000,1.0000,0.0000
"2016-10-05","toys",6,6,1378.06,1378.06000000,229.676667,1.0000,0.1667
"2016-10-06","auto",1,1,594.46,594.46000000,594.460000,1.0000,0.0000
"2016-10-06","baby",2,2,227.09,227.09000000,113.545000,1.0000,0.5000
"2016-10-06","bed_bath_table",1,1,74.59,74.59000000,74.590000,1.0000,0.0000
"2016-10-06","computers_accessories",1,1,35.42,35.42000000,35.420000,1.0000,0.0000
"2016-10-06","cool_stuff",2,2,251.76,251.76000000,125.880000,1.0000,0.5000
"2016-10-06","electronics",1,1,119.79,119.79000000,119.790000,1.0000,0.0000
"2016-10-06","fashion_bags_accessories",3,3,229.51,215.75000000,76.503333,1.0000,0.3333
"2016-10-06","fixed_telephony",1,1,91.16,91.16000000,91.160000,1.0000,0.0000
"2016-10-06","furniture_decor",5,5,372.54,372.54000000,74.508000,1.0000,0.4000
"2016-10-06","garden_tools",1,1,156.22,156.22000000,156.220000,1.0000,0.0000
"2016-10-06","health_beauty",4,4,485.08,433.46000000,121.270000,1.0000,0.5000
"2016-10-06","housewares",1,1,467.20,467.20000000,467.200000,1.0000,0.0000
"2016-10-06","market_place",1,1,250.69,250.69000000,250.690000,1.0000,0.0000
"2016-10-06","perfumery",6,6,1335.99,1335.99000000,222.665000,1.0000,0.0000
"2016-10-06","pet_shop",2,2,244.02,244.02000000,122.010000,1.0000,0.0000
"2016-10-06","sports_leisure",3,3,206.49,206.49000000,68.830000,1.0000,0.0000
"2016-10-06","telephony",1,1,38.62,38.62000000,38.620000,1.0000,0.0000
"2016-10-06","toys",3,3,293.57,293.57000000,97.856667,1.0000,0.0000
"2016-10-06","watches_gifts",2,2,1324.70,1324.70000000,662.350000,1.0000,0.0000
"2016-10-07","audio",1,1,147.08,147.08000000,147.080000,1.0000,0.0000
"2016-10-07","auto",2,2,142.63,142.63000000,71.315000,1.0000,0.5000
"2016-10-07","baby",2,2,266.74,266.74000000,133.370000,1.0000,0.0000
"2016-10-07","computers_accessories",2,2,218.03,218.03000000,109.015000,1.0000,0.0000
"2016-10-07","cool_stuff",3,3,756.70,765.00000000,252.233333,1.0000,0.0000
"2016-10-07","fixed_telephony",1,1,286.55,286.55000000,286.550000,1.0000,0.0000
"2016-10-07","furniture_decor",6,6,726.09,726.09000000,121.015000,1.0000,0.1667
"2016-10-07","garden_tools",1,1,611.56,611.56000000,611.560000,1.0000,0.0000
"2016-10-07","health_beauty",5,5,542.76,542.76000000,108.552000,1.0000,0.2000
"2016-10-07","housewares",1,1,363.39,363.39000000,363.390000,1.0000,1.0000
"2016-10-07","industry_commerce_and_business",1,1,113.17,113.17000000,113.170000,1.0000,0.0000
"2016-10-07","market_place",1,1,72.60,72.60000000,72.600000,1.0000,0.0000
"2016-10-07","office_furniture",1,1,150.46,150.46000000,150.460000,1.0000,1.0000
"2016-10-07","perfumery",4,4,946.87,946.87000000,236.717500,1.0000,0.2500
"2016-10-07","pet_shop",1,1,415.68,415.68000000,415.680000,1.0000,0.0000
"2016-10-07","sports_leisure",1,1,160.44,160.44000000,160.440000,1.0000,0.0000
"2016-10-07","telephony",1,1,29.86,29.86000000,29.860000,1.0000,0.0000
"2016-10-07","toys",4,4,873.85,873.85000000,218.462500,1.0000,0.2500
"2016-10-08","baby",2,2,354.89,354.89000000,177.445000,1.0000,0.0000
"2016-10-08","computers_accessories",3,3,244.37,244.37000000,81.456667,1.0000,0.3333
"2016-10-08","consoles_games",1,1,971.96,971.96000000,971.960000,1.0000,0.0000
"2016-10-08","diapers_and_hygiene",1,1,150.99,150.99000000,150.990000,1.0000,0.0000
"2016-10-08","fashion_bags_accessories",1,1,60.86,60.86000000,60.860000,1.0000,0.0000
"2016-10-08","furniture_decor",9,9,1558.53,1558.53000000,173.170000,1.0000,0.1111
"2016-10-08","garden_tools",1,1,82.08,82.08000000,82.080000,1.0000,0.0000
"2016-10-08","health_beauty",6,6,1188.28,1188.28000000,198.046667,1.0000,0.0000
"2016-10-08","housewares",2,2,249.12,249.12000000,124.560000,1.0000,0.0000
"2016-10-08","industry_commerce_and_business",1,1,207.22,207.22000000,207.220000,1.0000,0.0000
"2016-10-08","office_furniture",1,1,783.22,783.22000000,783.220000,1.0000,0.0000
"2016-10-08","perfumery",4,4,1079.06,1079.06000000,269.765000,1.0000,0.0000
"2016-10-08","sports_leisure",2,2,91.38,91.38000000,45.690000,1.0000,0.0000
"2016-10-08",unknown,1,1,30.42,30.42000000,30.420000,1.0000,0.0000
"2016-10-08","watches_gifts",1,1,1423.55,1423.55000000,1423.550000,1.0000,0.0000
"2016-10-09","bed_bath_table",2,2,155.50,201.17196311,77.750000,1.0000,0.5000
"2016-10-09","computers_accessories",1,1,51.05,51.05000000,51.050000,1.0000,0.0000
"2016-10-09","fashion_bags_accessories",1,1,91.07,105.19000000,91.070000,1.0000,0.0000
"2016-10-09","furniture_decor",5,5,747.25,820.58803689,149.450000,1.0000,0.2000
"2016-10-09","garden_tools",1,1,419.06,419.06000000,419.060000,1.0000,1.0000
"2016-10-09","health_beauty",4,4,336.68,336.68000000,84.170000,1.0000,0.0000
"2016-10-09","housewares",1,1,60.52,60.52000000,60.520000,1.0000,0.0000
"2016-10-09","office_furniture",1,1,159.35,159.35000000,159.350000,1.0000,1.0000
"2016-10-09","perfumery",1,1,22.86,22.86000000,22.860000,1.0000,0.0000
"2016-10-09","sports_leisure",2,2,135.85,135.85000000,67.925000,1.0000,0.0000
"2016-10-09","toys",2,2,725.00,725.00000000,362.500000,1.0000,0.0000
"2016-10-10","audio",1,1,35.95,35.95000000,35.950000,1.0000,0.0000
"2016-10-10","auto",1,1,194.85,194.85000000,194.850000,1.0000,0.0000
"2016-10-10","computers_accessories",1,1,33.52,33.52000000,33.520000,1.0000,0.0000
"2016-10-10","consoles_games",2,2,145.10,145.10000000,72.550000,1.0000,0.0000
"2016-10-10","fashion_bags_accessories",2,2,121.54,121.54000000,60.770000,1.0000,0.5000
"2016-10-10","fixed_telephony",1,1,20.11,20.11000000,20.110000,1.0000,0.0000
"2016-10-10","food",1,1,96.23,96.23000000,96.230000,1.0000,0.0000
"2016-10-10","furniture_decor",7,6,1391.83,1572.65000000,198.832857,1.0000,0.1429
"2016-10-10","health_beauty",5,5,572.07,572.07000000,114.414000,1.0000,0.0000
"2016-10-10","housewares",1,1,48.55,48.55000000,48.550000,1.0000,0.0000
"2016-10-10","market_place",2,2,193.46,193.46000000,96.730000,1.0000,0.0000
"2016-10-10","office_furniture",1,1,264.08,264.08000000,264.080000,0.0000,0.0000
"2016-10-10","perfumery",1,1,27.86,27.86000000,27.860000,1.0000,1.0000
"2016-10-10","pet_shop",1,1,116.16,116.16000000,116.160000,1.0000,0.0000
"2016-10-10","sports_leisure",3,3,187.49,187.49000000,62.496667,1.0000,0.0000
"2016-10-10","telephony",2,2,75.28,75.28000000,37.640000,1.0000,0.5000
"2016-10-10","toys",2,2,372.65,372.65000000,186.325000,1.0000,0.0000
"2016-12-23","fashion_bags_accessories",1,1,19.62,19.62000000,19.620000,1.0000,0.0000
"2017-01-05","auto",2,2,39.24,39.24000000,19.620000,1.0000,0.0000
"2017-01-05","baby",2,2,39.24,39.24000000,19.620000,1.0000,0.0000
"2017-01-05","fashion_bags_accessories",9,8,176.58,176.58000000,19.620000,1.0000,0.0000
"2017-01-05","furniture_bedroom",8,5,148.76,148.76000000,18.595000,1.0000,0.0000
"2017-01-05","garden_tools",1,1,91.92,91.92000000,91.920000,1.0000,0.0000
"2017-01-05","music",2,2,37.24,37.24000000,18.620000,1.0000,0.0000
"2017-01-05","pet_shop",5,3,86.10,86.10000000,17.220000,1.0000,0.0000
"2017-01-05","stationery",1,1,19.62,19.62000000,19.620000,1.0000,0.0000
"2017-01-05","toys",2,2,68.57,68.57000000,34.285000,1.0000,0.0000
"2017-01-06","consoles_games",1,1,124.84,124.84000000,124.840000,1.0000,0.0000
"2017-01-06","fixed_telephony",1,1,21.45,21.45000000,21.450000,1.0000,0.0000
"2017-01-06","health_beauty",1,1,666.71,666.71000000,666.710000,1.0000,0.0000
"2017-01-06","toys",1,1,175.28,175.28000000,175.280000,1.0000,0.0000
"2017-01-07","cool_stuff",1,1,846.52,846.52000000,846.520000,1.0000,1.0000
"2017-01-07","furniture_decor",1,1,47.83,47.83000000,47.830000,0.0000,1.0000
"2017-01-07","health_beauty",1,1,389.43,389.43000000,389.430000,1.0000,0.0000
"2017-01-07","watches_gifts",1,1,164.21,164.21000000,164.210000,1.0000,0.0000
"2017-01-08","bed_bath_table",1,1,84.59,84.59000000,84.590000,1.0000,0.0000
"2017-01-08","fashion_bags_accessories",1,1,141.37,141.37000000,141.370000,1.0000,0.0000
"2017-01-08","fixed_telephony",1,1,25.10,25.10000000,25.100000,1.0000,0.0000
"2017-01-08","garden_tools",1,1,256.79,256.79000000,256.790000,1.0000,0.0000
"2017-01-09","cool_stuff",1,1,367.65,367.65000000,367.650000,1.0000,0.0000
"2017-01-09","furniture_decor",1,1,108.12,108.12000000,108.120000,0.0000,1.0000
"2017-01-09","health_beauty",1,1,130.75,130.75000000,130.750000,0.0000,0.0000
"2017-01-09","pet_shop",1,1,16.62,16.62000000,16.620000,1.0000,0.0000
"2017-01-09","sports_leisure",1,1,151.37,151.37000000,151.370000,1.0000,1.0000
"2017-01-10","bed_bath_table",2,2,152.75,152.75000000,76.375000,1.0000,0.0000
"2017-01-10","cool_stuff",1,1,191.40,191.40000000,191.400000,1.0000,1.0000
"2017-01-10","furniture_decor",1,1,82.19,82.19000000,82.190000,1.0000,0.0000
"2017-01-10","garden_tools",1,1,425.07,425.07000000,425.070000,1.0000,0.0000
"2017-01-10","watches_gifts",1,1,719.76,719.76000000,719.760000,1.0000,1.0000
"2017-01-11","baby",1,1,131.35,131.35000000,131.350000,1.0000,0.0000
"2017-01-11","fixed_telephony",1,1,26.64,26.64000000,26.640000,1.0000,0.0000
"2017-01-11","furniture_decor",1,1,28.46,28.46000000,28.460000,1.0000,0.0000
"2017-01-11","garden_tools",3,3,1262.16,1262.16000000,420.720000,1.0000,0.3333
"2017-01-11","small_appliances",1,1,117.27,117.27000000,117.270000,1.0000,0.0000
"2017-01-11","sports_leisure",1,1,229.65,229.65000000,229.650000,1.0000,0.0000
"2017-01-11","toys",1,1,159.18,159.18000000,159.180000,1.0000,0.0000
"2017-01-11","watches_gifts",1,1,144.07,144.07000000,144.070000,1.0000,0.0000
"2017-01-12","baby",1,1,74.49,74.49000000,74.490000,1.0000,0.0000
"2017-01-12","computers_accessories",3,3,471.54,471.54000000,157.180000,0.6667,0.3333
"2017-01-12","fashion_bags_accessories",1,1,58.74,58.74000000,58.740000,0.0000,1.0000
"2017-01-12","furniture_decor",4,4,663.55,663.55000000,165.887500,1.0000,0.2500
"2017-01-12","housewares",1,1,30.86,30.86000000,30.860000,1.0000,0.0000
"2017-01-12","small_appliances",1,1,399.72,399.72000000,399.720000,1.0000,0.0000
"2017-01-12","telephony",1,1,21.45,21.45000000,21.450000,1.0000,0.0000
"2017-01-13","bed_bath_table",1,1,85.60,85.60000000,85.600000,1.0000,0.0000
"2017-01-13","furniture_decor",2,2,188.71,188.71000000,94.355000,1.0000,0.0000
"2017-01-13","garden_tools",3,3,1263.19,1263.19000000,421.063333,1.0000,0.3333
"2017-01-13","health_beauty",1,1,202.71,202.71000000,202.710000,1.0000,0.0000
"2017-01-13","housewares",1,1,517.59,517.59000000,517.590000,1.0000,0.0000
"2017-01-13","sports_leisure",1,1,149.62,149.62000000,149.620000,1.0000,0.0000
"2017-01-13","watches_gifts",1,1,305.44,305.44000000,305.440000,1.0000,0.0000
"2017-01-14","consoles_games",1,1,124.84,124.84000000,124.840000,1.0000,0.0000
"2017-01-14","fixed_telephony",3,3,125.47,125.47000000,41.823333,1.0000,0.0000
"2017-01-14","furniture_decor",9,8,619.37,627.16000000,68.818889,0.8889,0.1111
"2017-01-14","sports_leisure",3,3,283.61,283.61000000,94.536667,1.0000,0.3333
"2017-01-15","bed_bath_table",1,1,64.46,64.46000000,64.460000,1.0000,0.0000
"2017-01-15","cool_stuff",1,1,54.95,54.95000000,54.950000,1.0000,0.0000
"2017-01-15","fashion_bags_accessories",1,1,104.65,104.65000000,104.650000,1.0000,0.0000
"2017-01-15","furniture_decor",5,4,678.63,847.86000000,135.726000,1.0000,0.0000
"2017-01-15","garden_tools",2,2,848.76,848.76000000,424.380000,1.0000,0.0000
"2017-01-15","health_beauty",1,1,374.28,374.28000000,374.280000,1.0000,1.0000
"2017-01-15","sports_leisure",1,1,199.36,199.36000000,199.360000,1.0000,0.0000
"2017-01-15","telephony",1,1,50.02,50.02000000,50.020000,1.0000,0.0000
"2017-01-15","toys",1,1,176.23,176.23000000,176.230000,1.0000,0.0000
"2017-01-16","auto",3,3,1046.44,1046.44000000,348.813333,1.0000,0.3333
"2017-01-16","cool_stuff",1,1,665.70,665.70000000,665.700000,1.0000,1.0000
"2017-01-16","electronics",1,1,55.11,55.11000000,55.110000,1.0000,0.0000
"2017-01-16","fashion_bags_accessories",2,2,147.22,147.22000000,73.610000,1.0000,0.0000
"2017-01-16","fixed_telephony",3,3,295.10,295.10000000,98.366667,1.0000,0.0000
"2017-01-16","furniture_decor",2,1,509.58,509.58000000,254.790000,1.0000,0.0000
"2017-01-16","health_beauty",3,3,779.66,779.66000000,259.886667,1.0000,0.0000
"2017-01-16","pet_shop",1,1,93.72,93.72000000,93.720000,1.0000,0.0000
"2017-01-16","sports_leisure",1,1,42.52,42.52000000,42.520000,1.0000,0.0000
"2017-01-16","telephony",1,1,29.49,33.33000000,29.490000,1.0000,0.0000
"2017-01-17","auto",1,1,122.54,122.54000000,122.540000,1.0000,0.0000
"2017-01-17","baby",1,1,150.22,150.22000000,150.220000,1.0000,0.0000
"2017-01-17","bed_bath_table",1,1,60.64,60.64000000,60.640000,1.0000,0.0000
"2017-01-17","cool_stuff",1,1,82.58,82.58000000,82.580000,1.0000,0.0000
"2017-01-17","electronics",4,4,203.85,203.85000000,50.962500,1.0000,0.0000
"2017-01-17","fashion_bags_accessories",1,1,185.26,185.26000000,185.260000,1.0000,0.0000
"2017-01-17","fixed_telephony",1,1,43.90,43.90000000,43.900000,1.0000,1.0000
"2017-01-17","furniture_decor",7,6,716.99,803.11000000,102.427143,1.0000,0.1429
"2017-01-17","garden_tools",1,1,175.85,175.85000000,175.850000,1.0000,0.0000
"2017-01-17","health_beauty",1,1,367.56,367.56000000,367.560000,1.0000,0.0000
"2017-01-17","perfumery",2,2,138.30,138.30000000,69.150000,1.0000,0.0000
"2017-01-17","small_appliances",1,1,53.46,53.46000000,53.460000,1.0000,0.0000
"2017-01-17","sports_leisure",3,3,488.85,488.85000000,162.950000,1.0000,0.0000
"2017-01-17","toys",5,5,503.47,503.47000000,100.694000,1.0000,0.0000
"2017-01-17",unknown,1,1,194.00,194.00000000,194.000000,1.0000,0.0000
"2017-01-17","watches_gifts",1,1,406.14,406.14000000,406.140000,1.0000,0.0000
"2017-01-18","auto",1,1,139.59,139.59000000,139.590000,1.0000,0.0000
"2017-01-18","baby",4,4,386.58,386.58000000,96.645000,0.7500,0.0000
"2017-01-18","bed_bath_table",1,1,84.59,84.59000000,84.590000,1.0000,0.0000
"2017-01-18","computers_accessories",3,3,286.17,286.17000000,95.390000,1.0000,0.0000
"2017-01-18","electronics",1,1,74.59,74.59000000,74.590000,1.0000,1.0000
"2017-01-18","fixed_telephony",1,1,27.04,27.04000000,27.040000,1.0000,0.0000
"2017-01-18","furniture_decor",5,5,412.16,412.16000000,82.432000,1.0000,0.0000
"2017-01-18","garden_tools",1,1,50.59,50.59000000,50.590000,1.0000,0.0000
"2017-01-18","health_beauty",3,3,676.98,676.98000000,225.660000,1.0000,0.3333
"2017-01-18","home_appliances_2",1,1,485.38,485.38000000,485.380000,1.0000,0.0000
"2017-01-18","housewares",1,1,186.46,186.46000000,186.460000,1.0000,0.0000
"2017-01-18","market_place",1,1,88.23,88.23000000,88.230000,1.0000,0.0000
"2017-01-18","pet_shop",1,1,123.04,123.04000000,123.040000,1.0000,0.0000
"2017-01-18","sports_leisure",2,2,187.05,187.05000000,93.525000,1.0000,0.0000
"2017-01-18","stationery",1,1,176.23,176.23000000,176.230000,1.0000,0.0000
"2017-01-18","toys",2,2,222.51,222.51000000,111.255000,1.0000,0.0000
"2017-01-18","watches_gifts",1,1,204.49,204.49000000,204.490000,1.0000,0.0000
"2017-01-19","auto",3,3,198.68,198.68000000,66.226667,1.0000,0.3333
"2017-01-19","baby",2,2,400.72,400.72000000,200.360000,1.0000,0.0000
"2017-01-19","bed_bath_table",3,2,331.45,331.45000000,110.483333,1.0000,0.0000
"2017-01-19","computers_accessories",1,1,96.10,96.10000000,96.100000,1.0000,0.0000
"2017-01-19","electronics",1,1,44.02,44.02000000,44.020000,0.0000,1.0000
"2017-01-19","fixed_telephony",1,1,25.51,25.51000000,25.510000,1.0000,0.0000
"2017-01-19","furniture_decor",10,10,1431.42,1431.42000000,143.142000,1.0000,0.1000
"2017-01-19","health_beauty",1,1,161.71,161.71000000,161.710000,1.0000,0.0000
"2017-01-19","housewares",2,2,552.17,552.17000000,276.085000,1.0000,0.0000
"2017-01-19","market_place",1,1,87.83,87.83000000,87.830000,1.0000,0.0000
"2017-01-19","sports_leisure",2,2,744.38,744.38000000,372.190000,1.0000,0.0000
"2017-01-19","telephony",1,1,22.55,22.55000000,22.550000,1.0000,1.0000
"2017-01-19","toys",1,1,43.62,43.62000000,43.620000,1.0000,0.0000
"2017-01-20","auto",1,1,497.74,497.74000000,497.740000,1.0000,1.0000
"2017-01-20","baby",1,1,36.04,36.04000000,36.040000,1.0000,0.0000
"2017-01-20","bed_bath_table",1,1,138.35,138.35000000,138.350000,1.0000,0.0000
"2017-01-20","consoles_games",2,2,296.91,296.91000000,148.455000,1.0000,0.0000
"2017-01-20","cool_stuff",2,2,787.87,787.87000000,393.935000,1.0000,0.0000
"2017-01-20","electronics",1,1,263.04,263.04000000,263.040000,1.0000,0.0000
"2017-01-20","fashion_bags_accessories",1,1,75.73,75.73000000,75.730000,1.0000,0.0000
"2017-01-20","fashion_shoes",1,1,49.01,49.01000000,49.010000,1.0000,0.0000
"2017-01-20","furniture_decor",11,11,781.36,781.36000000,71.032727,1.0000,0.0000
"2017-01-20","garden_tools",1,1,121.84,121.84000000,121.840000,1.0000,0.0000
"2017-01-20","health_beauty",2,2,602.47,602.47000000,301.235000,1.0000,0.0000
"2017-01-20","sports_leisure",2,2,247.37,247.37000000,123.685000,1.0000,0.0000
"2017-01-20","stationery",1,1,387.64,387.64000000,387.640000,1.0000,0.0000
"2017-01-20",unknown,1,1,370.68,370.68000000,370.680000,1.0000,0.0000
"2017-01-21","auto",1,1,33.52,33.52000000,33.520000,1.0000,1.0000
"2017-01-21","bed_bath_table",2,1,538.38,538.38604436,269.190000,1.0000,1.0000
"2017-01-21","computers_accessories",1,1,35.95,35.95000000,35.950000,1.0000,0.0000
"2017-01-21","consoles_games",1,1,303.72,303.72000000,303.720000,1.0000,0.0000
"2017-01-21","cool_stuff",1,1,26.76,26.76000000,26.760000,1.0000,0.0000
"2017-01-21","electronics",1,1,22.46,22.46000000,22.460000,1.0000,0.0000
"2017-01-21","fashion_male_clothing",1,1,159.11,159.11000000,159.110000,1.0000,0.0000
"2017-01-21","furniture_decor",11,11,1115.02,1115.00395564,101.365455,1.0000,0.2727
"2017-01-21","health_beauty",1,1,44.95,44.95000000,44.950000,1.0000,0.0000
"2017-01-21","sports_leisure",2,2,169.95,263.79000000,84.975000,1.0000,0.0000
"2017-01-21","stationery",1,1,448.05,448.05000000,448.050000,1.0000,0.0000
"2017-01-22","baby",1,1,50.96,50.96000000,50.960000,1.0000,0.0000
"2017-01-22","bed_bath_table",2,2,187.82,187.82000000,93.910000,1.0000,0.0000
"2017-01-22","consoles_games",1,1,709.93,709.93000000,709.930000,1.0000,0.0000
"2017-01-22","electronics",1,1,22.46,22.46000000,22.460000,1.0000,0.0000
"2017-01-22","fashion_underwear_beach",1,1,102.15,102.15000000,102.150000,1.0000,1.0000
"2017-01-22","fixed_telephony",2,2,112.06,112.06000000,56.030000,1.0000,0.0000
"2017-01-22","furniture_decor",8,8,801.88,801.88000000,100.235000,1.0000,0.1250
"2017-01-22","garden_tools",2,2,413.28,413.28000000,206.640000,1.0000,0.0000
"2017-01-22","health_beauty",6,6,1164.69,1164.69000000,194.115000,1.0000,0.1667
"2017-01-22","housewares",1,1,25.46,25.46000000,25.460000,1.0000,0.0000
"2017-01-22","pet_shop",1,1,170.36,170.36000000,170.360000,1.0000,0.0000
"2017-01-22","sports_leisure",1,1,133.09,133.09000000,133.090000,1.0000,0.0000
"2017-01-22","toys",3,3,247.73,247.73000000,82.576667,1.0000,0.0000
"2017-01-23","agro_industry_and_commerce",1,1,61.42,61.42000000,61.420000,1.0000,0.0000
"2017-01-23","air_conditioning",1,1,338.46,338.46000000,338.460000,1.0000,0.0000
"2017-01-23","auto",1,1,619.46,619.46000000,619.460000,1.0000,0.0000
"2017-01-23","bed_bath_table",1,1,171.20,171.20000000,171.200000,1.0000,0.0000
"2017-01-23","computers_accessories",2,2,73.37,73.37000000,36.685000,1.0000,0.0000
"2017-01-23","consoles_games",1,1,346.38,346.38000000,346.380000,1.0000,0.0000
"2017-01-23","cool_stuff",1,1,160.77,160.77000000,160.770000,1.0000,1.0000
"2017-01-23","fashion_bags_accessories",4,4,370.36,370.36000000,92.590000,1.0000,0.2500
"2017-01-23","furniture_decor",7,7,431.38,431.38000000,61.625714,0.7143,0.5714
"2017-01-23","garden_tools",4,4,1282.01,1282.01000000,320.502500,1.0000,0.7500
"2017-01-23","health_beauty",6,6,1335.01,1335.01000000,222.501667,1.0000,0.1667
"2017-01-23","housewares",1,1,383.82,383.82000000,383.820000,1.0000,0.0000
"2017-01-23","pet_shop",1,1,152.06,152.06000000,152.060000,1.0000,0.0000
"2017-01-23","sports_leisure",3,3,1333.05,1333.05000000,444.350000,1.0000,0.0000
"2017-01-23","toys",2,2,162.84,162.84000000,81.420000,1.0000,0.0000
"2017-01-24","auto",2,2,984.71,984.71000000,492.355000,1.0000,0.0000
"2017-01-24","baby",2,2,211.42,211.42000000,105.710000,1.0000,0.0000
"2017-01-24","bed_bath_table",2,2,127.61,127.61000000,63.805000,1.0000,0.0000
"2017-01-24","computers_accessories",1,1,113.86,113.86000000,113.860000,1.0000,0.0000
"2017-01-24","consoles_games",1,1,155.42,155.42000000,155.420000,1.0000,0.0000
"2017-01-24","cool_stuff",1,1,186.49,186.49000000,186.490000,1.0000,0.0000
"2017-01-24","fashio_female_clothing",1,1,33.36,33.36000000,33.360000,1.0000,0.0000
"2017-01-24","fashion_bags_accessories",1,1,91.07,91.07000000,91.070000,1.0000,0.0000
"2017-01-24","furniture_decor",4,4,317.42,317.42000000,79.355000,1.0000,0.0000
"2017-01-24","garden_tools",3,3,248.68,248.68000000,82.893333,1.0000,0.3333
"2017-01-24","health_beauty",6,6,963.88,963.88000000,160.646667,1.0000,0.3333
"2017-01-24","housewares",3,3,348.20,348.20000000,116.066667,1.0000,0.0000
"2017-01-24","market_place",1,1,239.90,239.90000000,239.900000,1.0000,0.0000
"2017-01-24","perfumery",1,1,74.49,74.49000000,74.490000,1.0000,0.0000
"2017-01-24","sports_leisure",3,3,588.42,588.42000000,196.140000,1.0000,0.0000
"2017-01-24","toys",6,6,1258.28,1269.25000000,209.713333,1.0000,0.1667
"2017-01-25","auto",2,2,320.82,320.82000000,160.410000,1.0000,0.5000
"2017-01-25","bed_bath_table",2,2,223.70,223.70000000,111.850000,1.0000,0.5000
"2017-01-25","computers_accessories",3,3,120.36,120.36000000,40.120000,1.0000,0.0000
"2017-01-25","consoles_games",1,1,239.64,239.64000000,239.640000,1.0000,0.0000
"2017-01-25","cool_stuff",4,4,1184.29,1184.29000000,296.072500,1.0000,0.0000
"2017-01-25","fashio_female_clothing",1,1,69.45,69.45000000,69.450000,1.0000,0.0000
"2017-01-25","fashion_bags_accessories",3,3,285.70,285.70000000,95.233333,1.0000,0.3333
